use_case,size,heap_size,concurrent_users,collector,latency
1,50,100,1000,1,62.60755629
1,50,100,1000,2,60.95962574
1,50,100,1000,3,89.21688846
1,50,100,1000,4,63.22412864
1,50,100,500,1,33.13564654
1,50,100,500,2,32.27667443
1,50,100,500,3,43.17189596
1,50,100,500,4,34.106174700000004
1,50,100,200,1,13.09806066
1,50,100,200,2,13.10249271
1,50,100,200,3,17.26266328
1,50,100,200,4,13.06311352
1,50,100,100,1,6.530213903
1,50,100,100,2,6.886277528
1,50,100,100,3,7.439800223
1,50,100,100,4,7.073495316
1,50,100,50,1,3.5314634419999997
1,50,100,50,2,3.5837759869999997
1,50,100,50,3,3.8810288369999997
1,50,100,50,4,3.6558718860000003
1,50,100,1,1,0.2471594709
1,50,100,1,2,0.24165837690000003
1,50,100,1,3,0.2563723043
1,50,100,1,4,0.2414898326
1,50,200,1000,1,59.25812152
1,50,200,1000,2,59.78515667
1,50,200,1000,3,65.65942305
1,50,200,1000,4,61.32488656
1,50,200,500,1,31.10766264
1,50,200,500,2,31.08930901
1,50,200,500,3,34.41556428
1,50,200,500,4,32.01383981
1,50,200,200,1,12.09892376
1,50,200,200,2,12.37156894
1,50,200,200,3,13.78597691
1,50,200,200,4,12.83088053
1,50,200,100,1,6.483965402999999
1,50,200,100,2,6.614095322000001
1,50,200,100,3,7.250078961
1,50,200,100,4,6.663195305
1,50,200,50,1,3.29396204
1,50,200,50,2,3.348957733
1,50,200,50,3,3.81848164
1,50,200,50,4,3.381014594
1,50,200,1,1,0.23851518859999998
1,50,200,1,2,0.2397101962
1,50,200,1,3,0.25491375829999996
1,50,200,1,4,0.24742639309999997
1,50,500,1000,1,58.26256725
1,50,500,1000,2,55.34966402
1,50,500,1000,3,62.66163698
1,50,500,1000,4,59.16968089
1,50,500,500,1,30.227239899999997
1,50,500,500,2,29.73810337
1,50,500,500,3,32.43660826
1,50,500,500,4,30.79680982
1,50,500,200,1,11.70399255
1,50,500,200,2,11.70042336
1,50,500,200,3,13.60128717
1,50,500,200,4,12.08479405
1,50,500,100,1,6.0362623179999995
1,50,500,100,2,6.159694953
1,50,500,100,3,7.0569048489999995
1,50,500,100,4,6.165818496
1,50,500,50,1,3.184995607
1,50,500,50,2,3.172542944
1,50,500,50,3,3.631078782
1,50,500,50,4,3.2939956739999996
1,50,500,1,1,0.2416956842
1,50,500,1,2,0.23897308539999998
1,50,500,1,3,0.2554524138
1,50,500,1,4,0.24270629579999997
1,50,1000,1000,1,55.68173845
1,50,1000,1000,2,54.22877349
1,50,1000,1000,3,61.72881556
1,50,1000,1000,4,56.73386809
1,50,1000,500,1,29.92983311
1,50,1000,500,2,29.57359038
1,50,1000,500,3,33.19226492
1,50,1000,500,4,29.82070152
1,50,1000,200,1,11.70756632
1,50,1000,200,2,11.22984247
1,50,1000,200,3,12.83899151
1,50,1000,200,4,12.26308201
1,50,1000,100,1,6.040282489
1,50,1000,100,2,5.958609994
1,50,1000,100,3,6.883990731
1,50,1000,100,4,6.198477215
1,50,1000,50,1,3.154522853
1,50,1000,50,2,3.164328218
1,50,1000,50,3,3.520089872
1,50,1000,50,4,3.2125081680000003
1,50,1000,1,1,0.241308738
1,50,1000,1,2,0.24261206859999998
1,50,1000,1,3,0.2554191991
1,50,1000,1,4,0.2427880549
1,50,4000,1000,1,57.36217214
1,50,4000,1000,2,57.24822954
1,50,4000,1000,3,65.79019579
1,50,4000,1000,4,62.09012149
1,50,4000,500,1,29.61924376
1,50,4000,500,2,29.5365789
1,50,4000,500,3,33.46415239
1,50,4000,500,4,32.68798119
1,50,4000,200,1,12.14573857
1,50,4000,200,2,11.7651536
1,50,4000,200,3,13.70647473
1,50,4000,200,4,13.10620911
1,50,4000,100,1,6.252200823
1,50,4000,100,2,6.1895846379999995
1,50,4000,100,3,7.053491451
1,50,4000,100,4,6.512217092
1,50,4000,50,1,3.275760272
1,50,4000,50,2,3.2852915069999997
1,50,4000,50,3,3.571422984
1,50,4000,50,4,3.4455054410000003
1,50,4000,1,1,0.2482463579
1,50,4000,1,2,0.2418626005
1,50,4000,1,3,0.2565731471
1,50,4000,1,4,0.24601776620000002
1,1024,100,1000,1,145.70970419999998
1,1024,100,1000,2,133.4608864
1,1024,100,1000,3,183.000177
1,1024,100,1000,4,142.3657878
1,1024,100,500,1,72.55855848
1,1024,100,500,2,70.29896036
1,1024,100,500,3,88.20573543
1,1024,100,500,4,74.09298241
1,1024,100,200,1,26.96337259
1,1024,100,200,2,26.426960600000005
1,1024,100,200,3,34.02491216
1,1024,100,200,4,27.82038445
1,1024,100,100,1,13.78753248
1,1024,100,100,2,13.06071896
1,1024,100,100,3,14.04710874
1,1024,100,100,4,13.85624635
1,1024,100,50,1,6.52154899
1,1024,100,50,2,6.584795424
1,1024,100,50,3,6.832744172000001
1,1024,100,50,4,6.799558671000001
1,1024,100,1,1,0.41758173369999996
1,1024,100,1,2,0.3927474836
1,1024,100,1,3,0.4082445277
1,1024,100,1,4,0.39368011659999996
1,1024,200,1000,1,120.92503810000001
1,1024,200,1000,2,121.87195290000001
1,1024,200,1000,3,126.97447009999999
1,1024,200,1000,4,123.36998500000001
1,1024,200,500,1,64.4648069
1,1024,200,500,2,64.07381744
1,1024,200,500,3,65.18703572
1,1024,200,500,4,65.41698152
1,1024,200,200,1,25.18619026
1,1024,200,200,2,24.61217257
1,1024,200,200,3,25.50655456
1,1024,200,200,4,24.85557283
1,1024,200,100,1,12.56135608
1,1024,200,100,2,12.18011669
1,1024,200,100,3,12.63494647
1,1024,200,100,4,12.61942824
1,1024,200,50,1,6.337921682999999
1,1024,200,50,2,6.202654696000001
1,1024,200,50,3,6.50107701
1,1024,200,50,4,6.390006443
1,1024,200,1,1,0.394834344
1,1024,200,1,2,0.3875938523
1,1024,200,1,3,0.4045901028
1,1024,200,1,4,0.393565503
1,1024,500,1000,1,111.9151561
1,1024,500,1000,2,111.5103025
1,1024,500,1000,3,118.881009
1,1024,500,1000,4,115.52236529999999
1,1024,500,500,1,62.0166031
1,1024,500,500,2,60.00672187
1,1024,500,500,3,61.19127613
1,1024,500,500,4,60.14619356
1,1024,500,200,1,23.07103243
1,1024,500,200,2,23.81260246
1,1024,500,200,3,25.04326266
1,1024,500,200,4,24.21422931
1,1024,500,100,1,11.71728218
1,1024,500,100,2,11.70839898
1,1024,500,100,3,12.5083174
1,1024,500,100,4,11.94806178
1,1024,500,50,1,5.9961099639999995
1,1024,500,50,2,5.911811768
1,1024,500,50,3,6.1305614760000005
1,1024,500,50,4,6.116167615
1,1024,500,1,1,0.38549977399999996
1,1024,500,1,2,0.3879305164
1,1024,500,1,3,0.40173344229999997
1,1024,500,1,4,0.38803958450000003
1,1024,1000,1000,1,113.03736299999998
1,1024,1000,1000,2,106.0154088
1,1024,1000,1000,3,112.2190656
1,1024,1000,1000,4,112.0914798
1,1024,1000,500,1,58.99378376
1,1024,1000,500,2,58.75342991
1,1024,1000,500,3,60.01120110000001
1,1024,1000,500,4,57.90114006
1,1024,1000,200,1,23.60259545
1,1024,1000,200,2,22.38635229
1,1024,1000,200,3,24.47228514
1,1024,1000,200,4,23.10645968
1,1024,1000,100,1,11.32943303
1,1024,1000,100,2,11.0039639
1,1024,1000,100,3,12.32689962
1,1024,1000,100,4,12.03623115
1,1024,1000,50,1,5.962869823999999
1,1024,1000,50,2,5.784235493
1,1024,1000,50,3,6.311522175
1,1024,1000,50,4,6.064417145
1,1024,1000,1,1,0.382687125
1,1024,1000,1,2,0.38482921600000003
1,1024,1000,1,3,0.4073714732
1,1024,1000,1,4,0.3869017532
1,1024,4000,1000,1,108.3302798
1,1024,4000,1000,2,105.8253772
1,1024,4000,1000,3,113.95415179999999
1,1024,4000,1000,4,121.5972525
1,1024,4000,500,1,56.52497683
1,1024,4000,500,2,57.94266368
1,1024,4000,500,3,62.43166566
1,1024,4000,500,4,65.19690599
1,1024,4000,200,1,23.48871625
1,1024,4000,200,2,22.015540899999998
1,1024,4000,200,3,24.59737452
1,1024,4000,200,4,25.47295893
1,1024,4000,100,1,11.76784566
1,1024,4000,100,2,11.55246749
1,1024,4000,100,3,12.16496698
1,1024,4000,100,4,12.46517415
1,1024,4000,50,1,5.780079167
1,1024,4000,50,2,5.740361342000001
1,1024,4000,50,3,6.187217264
1,1024,4000,50,4,6.337349702000001
1,1024,4000,1,1,0.4053951044
1,1024,4000,1,2,0.40589247869999995
1,1024,4000,1,3,0.4011773594
1,1024,4000,1,4,0.41030907270000005
1,10240,100,1000,1,3600.660378
1,10240,100,1000,2,1383.873995
1,10240,100,1000,3,1373.990097
1,10240,100,1000,4,4009.2646560000003
1,10240,100,500,1,507.0405806
1,10240,100,500,2,478.4490271000001
1,10240,100,500,3,566.8932417000001
1,10240,100,500,4,479.4080918000001
1,10240,100,200,1,194.7439417
1,10240,100,200,2,176.3771235
1,10240,100,200,3,201.2491908
1,10240,100,200,4,186.15809430000002
1,10240,100,100,1,89.9526917
1,10240,100,100,2,87.77233782
1,10240,100,100,3,88.57872314
1,10240,100,100,4,89.46609745
1,10240,100,50,1,42.57795881
1,10240,100,50,2,41.73301304
1,10240,100,50,3,39.69133012
1,10240,100,50,4,40.55949277
1,10240,100,1,1,1.963181765
1,10240,100,1,2,1.913627189
1,10240,100,1,3,1.842131577
1,10240,100,1,4,1.837491608
1,10240,200,1000,1,922.6851125
1,10240,200,1000,2,849.4629412
1,10240,200,1000,3,875.8355452999999
1,10240,200,1000,4,840.6342072999998
1,10240,200,500,1,454.67454019999997
1,10240,200,500,2,398.87726560000004
1,10240,200,500,3,423.17855639999993
1,10240,200,500,4,431.88231849999994
1,10240,200,200,1,178.0541577
1,10240,200,200,2,157.1509439
1,10240,200,200,3,155.907141
1,10240,200,200,4,168.7812475
1,10240,200,100,1,82.3146608
1,10240,200,100,2,76.2196662
1,10240,200,100,3,81.29635966
1,10240,200,100,4,81.75257301
1,10240,200,50,1,40.23184938
1,10240,200,50,2,37.83662561
1,10240,200,50,3,38.33997659
1,10240,200,50,4,38.07759452
1,10240,200,1,1,1.959778311
1,10240,200,1,2,1.8021452269999998
1,10240,200,1,3,1.903134655
1,10240,200,1,4,1.935890981
1,10240,500,1000,1,782.4499950000001
1,10240,500,1000,2,742.9798754
1,10240,500,1000,3,737.7647833999999
1,10240,500,1000,4,785.89671
1,10240,500,500,1,404.9431703
1,10240,500,500,2,370.6106332
1,10240,500,500,3,380.4565111
1,10240,500,500,4,391.941338
1,10240,500,200,1,148.09431719999998
1,10240,500,200,2,150.68009709999998
1,10240,500,200,3,148.4769784
1,10240,500,200,4,147.41752
1,10240,500,100,1,75.22005673
1,10240,500,100,2,70.99905095
1,10240,500,100,3,72.79196361
1,10240,500,100,4,78.37959272
1,10240,500,50,1,37.04007757
1,10240,500,50,2,34.55356169
1,10240,500,50,3,36.17312055
1,10240,500,50,4,35.96331214
1,10240,500,1,1,1.801871665
1,10240,500,1,2,1.7498303430000002
1,10240,500,1,3,1.7661654430000002
1,10240,500,1,4,1.925816653
1,10240,1000,1000,1,749.6781146000001
1,10240,1000,1000,2,712.0438199
1,10240,1000,1000,3,741.9523424
1,10240,1000,1000,4,717.5955649
1,10240,1000,500,1,387.1510102
1,10240,1000,500,2,365.0655872
1,10240,1000,500,3,365.6932807
1,10240,1000,500,4,393.2652045
1,10240,1000,200,1,145.08702240000002
1,10240,1000,200,2,146.17529330000002
1,10240,1000,200,3,145.57300659999999
1,10240,1000,200,4,145.20035019999997
1,10240,1000,100,1,68.913923
1,10240,1000,100,2,68.45078069
1,10240,1000,100,3,67.20046879
1,10240,1000,100,4,72.77086923
1,10240,1000,50,1,36.46147436
1,10240,1000,50,2,33.88967734
1,10240,1000,50,3,34.09237693
1,10240,1000,50,4,34.29013068
1,10240,1000,1,1,1.7849257809999999
1,10240,1000,1,2,1.7420440830000001
1,10240,1000,1,3,1.8743256069999998
1,10240,1000,1,4,1.7972142309999999
1,10240,4000,1000,1,701.2580098999999
1,10240,4000,1000,2,669.176138
1,10240,4000,1000,3,678.2857305
1,10240,4000,1000,4,796.9065174
1,10240,4000,500,1,329.99863860000005
1,10240,4000,500,2,344.08863210000004
1,10240,4000,500,3,352.0060503
1,10240,4000,500,4,398.19649310000005
1,10240,4000,200,1,138.8860899
1,10240,4000,200,2,141.6161539
1,10240,4000,200,3,140.1098409
1,10240,4000,200,4,156.2749895
1,10240,4000,100,1,65.96605476
1,10240,4000,100,2,68.43563229
1,10240,4000,100,3,65.70730116
1,10240,4000,100,4,75.08881739
1,10240,4000,50,1,34.85065257
1,10240,4000,50,2,35.00405834
1,10240,4000,50,3,34.89609239
1,10240,4000,50,4,38.80343946
1,10240,4000,1,1,1.739532309
1,10240,4000,1,2,1.8964992269999998
1,10240,4000,1,3,1.8822145380000002
1,10240,4000,1,4,1.8434458169999999
2,10240,200,1000,1,43.598932299999994
2,10240,200,1000,2,35.80079639
2,10240,200,1000,3,37.58810757
2,10240,200,1000,4,39.87474928
2,10240,200,500,1,34.79500563
2,10240,200,500,2,34.66498837
2,10240,200,500,3,34.70341914
2,10240,200,500,4,34.96759785
2,10240,200,200,1,19.69991532
2,10240,200,200,2,19.42017235
2,10240,200,200,3,21.07391585
2,10240,200,200,4,19.53538339
2,10240,200,100,1,9.916327753
2,10240,200,100,2,9.989998907999999
2,10240,200,100,3,10.55082756
2,10240,200,100,4,10.33421086
2,10240,200,50,1,5.081779708
2,10240,200,50,2,5.20518504
2,10240,200,50,3,5.40320303
2,10240,200,50,4,5.245406189
2,10240,200,1,1,0.4790087729
2,10240,200,1,2,0.4691807433
2,10240,200,1,3,0.4791526486
2,10240,200,1,4,0.47731656219999996
2,10240,500,1000,1,32.89228509
2,10240,500,1000,2,30.57718545
2,10240,500,1000,3,31.53481678
2,10240,500,1000,4,32.34146632
2,10240,500,500,1,35.0188899
2,10240,500,500,2,31.12941818
2,10240,500,500,3,36.01278679
2,10240,500,500,4,32.41904352
2,10240,500,200,1,19.91525738
2,10240,500,200,2,18.96067784
2,10240,500,200,3,19.64445685
2,10240,500,200,4,18.48961437
2,10240,500,100,1,9.398750493
2,10240,500,100,2,9.25871978
2,10240,500,100,3,9.931499781
2,10240,500,100,4,9.429100941
2,10240,500,50,1,5.1493389810000005
2,10240,500,50,2,4.754842096
2,10240,500,50,3,5.438050206000001
2,10240,500,50,4,4.9899898369999995
2,10240,500,1,1,0.4736699849
2,10240,500,1,2,0.46350053189999996
2,10240,500,1,3,0.47486441020000003
2,10240,500,1,4,0.4696698406
2,10240,1000,1000,1,31.70536285
2,10240,1000,1000,2,28.31249951
2,10240,1000,1000,3,32.56731623
2,10240,1000,1000,4,30.50858106
2,10240,1000,500,1,32.61415215
2,10240,1000,500,2,36.13383458
2,10240,1000,500,3,34.8143781
2,10240,1000,500,4,33.826493
2,10240,1000,200,1,17.94994923
2,10240,1000,200,2,17.69424519
2,10240,1000,200,3,18.72075636
2,10240,1000,200,4,18.21600433
2,10240,1000,100,1,9.336974185
2,10240,1000,100,2,9.338280633
2,10240,1000,100,3,9.639486975
2,10240,1000,100,4,10.029145199999999
2,10240,1000,50,1,4.716957445
2,10240,1000,50,2,5.028334827
2,10240,1000,50,3,5.12332077
2,10240,1000,50,4,5.140890565
2,10240,1000,1,1,0.466862651
2,10240,1000,1,2,0.46065849600000003
2,10240,1000,1,3,0.47907816340000003
2,10240,1000,1,4,0.4660797086
2,10240,4000,1000,1,29.02148518
2,10240,4000,1000,2,26.44126226
2,10240,4000,1000,3,38.26395957
2,10240,4000,1000,4,38.35533037
2,10240,4000,500,1,30.74793192
2,10240,4000,500,2,30.49037918
2,10240,4000,500,3,30.96563114
2,10240,4000,500,4,35.97890023
2,10240,4000,200,1,17.73242544
2,10240,4000,200,2,17.538950500000002
2,10240,4000,200,3,18.560473100000003
2,10240,4000,200,4,19.71152923
2,10240,4000,100,1,9.211481145
2,10240,4000,100,2,9.254171856000001
2,10240,4000,100,3,9.788411893
2,10240,4000,100,4,10.84282476
2,10240,4000,50,1,4.729755539
2,10240,4000,50,2,4.734677198
2,10240,4000,50,3,5.074412195
2,10240,4000,50,4,5.263033914
2,10240,4000,1,1,0.4676586499
2,10240,4000,1,2,0.4618695675
2,10240,4000,1,3,0.48505310170000004
2,10240,4000,1,4,0.4777250188
2,1024,200,1000,1,54.36582582
2,1024,200,1000,2,53.24907838
2,1024,200,1000,3,60.10916757
2,1024,200,1000,4,54.73174515
2,1024,200,500,1,30.6423689
2,1024,200,500,2,30.2975523
2,1024,200,500,3,33.91863667
2,1024,200,500,4,30.32375274
2,1024,200,200,1,11.95430432
2,1024,200,200,2,11.74518762
2,1024,200,200,3,13.30766215
2,1024,200,200,4,12.20775791
2,1024,200,100,1,6.182939853
2,1024,200,100,2,6.384264482000001
2,1024,200,100,3,6.950362922999999
2,1024,200,100,4,6.590068606
2,1024,200,50,1,3.2525286939999996
2,1024,200,50,2,3.3247191760000003
2,1024,200,50,3,3.508973835
2,1024,200,50,4,3.451308033
2,1024,200,1,1,0.2486293169
2,1024,200,1,2,0.2471775019
2,1024,200,1,3,0.2601918927
2,1024,200,1,4,0.2519177427
2,1024,500,1000,1,51.45938027
2,1024,500,1000,2,52.01406454
2,1024,500,1000,3,54.88137611
2,1024,500,1000,4,51.13604565
2,1024,500,500,1,29.53873062
2,1024,500,500,2,28.38887995
2,1024,500,500,3,30.70853454
2,1024,500,500,4,28.53679058
2,1024,500,200,1,11.899826199999998
2,1024,500,200,2,11.47895316
2,1024,500,200,3,12.81102491
2,1024,500,200,4,11.931597199999999
2,1024,500,100,1,6.158213682
2,1024,500,100,2,5.977068312999999
2,1024,500,100,3,6.567009382999999
2,1024,500,100,4,6.220134501
2,1024,500,50,1,3.145186335
2,1024,500,50,2,3.150325283
2,1024,500,50,3,3.4020895380000002
2,1024,500,50,4,3.1888189380000003
2,1024,500,1,1,0.2503186436
2,1024,500,1,2,0.2494369265
2,1024,500,1,3,0.2613829015
2,1024,500,1,4,0.2485717926
2,1024,1000,1000,1,50.46279117
2,1024,1000,1000,2,51.46601243
2,1024,1000,1000,3,55.81838689
2,1024,1000,1000,4,49.75044249
2,1024,1000,500,1,28.04264846
2,1024,1000,500,2,26.38874636
2,1024,1000,500,3,30.21740224
2,1024,1000,500,4,27.16716169
2,1024,1000,200,1,11.40381002
2,1024,1000,200,2,11.23469987
2,1024,1000,200,3,12.52192686
2,1024,1000,200,4,12.05955491
2,1024,1000,100,1,5.94223391
2,1024,1000,100,2,5.7831501460000005
2,1024,1000,100,3,6.517497894
2,1024,1000,100,4,6.125740982999999
2,1024,1000,50,1,3.0752735689999997
2,1024,1000,50,2,3.1056862310000004
2,1024,1000,50,3,3.457395022
2,1024,1000,50,4,3.132115629
2,1024,1000,1,1,0.2487400775
2,1024,1000,1,2,0.2484462052
2,1024,1000,1,3,0.2674216478
2,1024,1000,1,4,0.25032291
2,1024,4000,1000,1,50.80941203
2,1024,4000,1000,2,51.13245906
2,1024,4000,1000,3,58.22455267
2,1024,4000,1000,4,55.51875446
2,1024,4000,500,1,29.13854323
2,1024,4000,500,2,29.20130668
2,1024,4000,500,3,32.53137796
2,1024,4000,500,4,32.070499100000006
2,1024,4000,200,1,11.54880458
2,1024,4000,200,2,11.69873149
2,1024,4000,200,3,12.63420232
2,1024,4000,200,4,12.57434413
2,1024,4000,100,1,6.115941607999999
2,1024,4000,100,2,5.891686022000001
2,1024,4000,100,3,6.680666116
2,1024,4000,100,4,6.372471332000001
2,1024,4000,50,1,3.141489627
2,1024,4000,50,2,3.2164569939999996
2,1024,4000,50,3,3.620155163
2,1024,4000,50,4,3.401228112
2,1024,4000,1,1,0.25358729480000003
2,1024,4000,1,2,0.24937848350000003
2,1024,4000,1,3,0.2682885911
2,1024,4000,1,4,0.2539153037
2,50,200,1000,1,53.51815053
2,50,200,1000,2,55.21467185
2,50,200,1000,3,60.28684308
2,50,200,1000,4,55.43852932
2,50,200,500,1,29.19389877
2,50,200,500,2,27.59261207
2,50,200,500,3,31.58227665
2,50,200,500,4,28.50921532
2,50,200,200,1,11.44294973
2,50,200,200,2,11.21629017
2,50,200,200,3,12.38509131
2,50,200,200,4,11.707100099999998
2,50,200,100,1,5.882814455
2,50,200,100,2,6.072193982999999
2,50,200,100,3,6.3634270939999995
2,50,200,100,4,6.294136422
2,50,200,50,1,3.1079504
2,50,200,50,2,3.1031046339999997
2,50,200,50,3,3.361052258
2,50,200,50,4,3.224296474
2,50,200,1,1,0.23175628469999998
2,50,200,1,2,0.2307429245
2,50,200,1,3,0.23785615559999998
2,50,200,1,4,0.2343274767
2,50,500,1000,1,52.67023223
2,50,500,1000,2,51.21214638
2,50,500,1000,3,60.39318521
2,50,500,1000,4,52.19807897
2,50,500,500,1,27.88777525
2,50,500,500,2,27.03937144
2,50,500,500,3,29.78222861
2,50,500,500,4,27.54984506
2,50,500,200,1,11.08480701
2,50,500,200,2,11.13917162
2,50,500,200,3,11.73268321
2,50,500,200,4,11.48409949
2,50,500,100,1,5.813282113
2,50,500,100,2,5.791112347
2,50,500,100,3,6.367979981
2,50,500,100,4,5.96865319
2,50,500,50,1,2.958318735
2,50,500,50,2,2.997069972
2,50,500,50,3,3.3373787569999998
2,50,500,50,4,3.137061531
2,50,500,1,1,0.23178465920000002
2,50,500,1,2,0.2284213616
2,50,500,1,3,0.23877474070000002
2,50,500,1,4,0.2330787857
2,50,1000,1000,1,49.26184615
2,50,1000,1000,2,50.50226684
2,50,1000,1000,3,57.91444857
2,50,1000,1000,4,53.16049438
2,50,1000,500,1,27.82945901
2,50,1000,500,2,27.21643029
2,50,1000,500,3,29.43722109
2,50,1000,500,4,27.04647746
2,50,1000,200,1,10.94166505
2,50,1000,200,2,10.78713736
2,50,1000,200,3,11.96217952
2,50,1000,200,4,11.26470076
2,50,1000,100,1,5.4053608120000005
2,50,1000,100,2,5.5999636
2,50,1000,100,3,6.204509828
2,50,1000,100,4,5.8183399510000005
2,50,1000,50,1,2.905525354
2,50,1000,50,2,2.891077547
2,50,1000,50,3,3.177415714
2,50,1000,50,4,3.030168118
2,50,1000,1,1,0.2308662422
2,50,1000,1,2,0.227460424
2,50,1000,1,3,0.23653918210000002
2,50,1000,1,4,0.2294039259
2,50,4000,1000,1,52.542927899999995
2,50,4000,1000,2,51.63034306
2,50,4000,1000,3,58.40145818
2,50,4000,1000,4,56.70401688
2,50,4000,500,1,27.60304891
2,50,4000,500,2,26.9452507
2,50,4000,500,3,29.58822584
2,50,4000,500,4,28.84275769
2,50,4000,200,1,11.10580658
2,50,4000,200,2,11.04299146
2,50,4000,200,3,11.91496717
2,50,4000,200,4,11.86145246
2,50,4000,100,1,5.795004913
2,50,4000,100,2,5.654931726
2,50,4000,100,3,6.279118747999999
2,50,4000,100,4,6.199673982999999
2,50,4000,50,1,3.034341149
2,50,4000,50,2,2.937940947
2,50,4000,50,3,3.3404593439999997
2,50,4000,50,4,3.2633821710000004
2,50,4000,1,1,0.23171359219999998
2,50,4000,1,2,0.2332114406
2,50,4000,1,3,0.24251253809999998
2,50,4000,1,4,0.2422145409
