heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
800m,1000,UseSerialGC,112.7952515757,0,4788,176,291,555.99,8603.0812272301,3.5068198457,773.375,21.994,80.175,211.841,213.342,0.01489,0.00425,0.10958,0.01487,0.06892,130.63,0.21,130.42,96.49,3,8773,30164.293,14350.421,1163.312,18.25,18.17,17.46
800m,1000,UseParallelGC,112.9873906731,0,4701,195,448,949.99,8604.8587925351,3.4822525323,796,34.719,180.52,245.988,254.25,0.00891,0.0035,0.16132,0.00886,0.0929,66.28,0.37,65.91,98.21,4,7438,30735.512,28692.112,1943.254,17.54,17.12,17.44
800m,1000,UseG1GC,128.4576929598,0,5031,206,249,376,7612.5805577661,3.7643691556,800,NA,n.a.,229.56,439.796,0.01192,0.00131,0.06456,0.01192,n.a.,45.06,0,45.06,98.78,0,3782,27018.866,36909.687,n.a.,19.72,19,18.64
800m,1000,UseConcMarkSweepGC,115.9016973369,0,4837,203,301,573,8380.5477986688,3.6081341913,773.375,NA,n.a.,286.73,213.225,0.00996,0.00382,0.07363,0.00996,n.a.,85.48,0,85.48,97.69,0,8581,29726.886,21404.129,n.a.,18.47,17.37,17.34
800m,500,UseSerialGC,59.0408085439,0,1050,117,148,219,8463.0815637826,0,773.375,19.427,67.652,68.898,213.349,0.01372,0.00444,0.11642,0.0137,0.07142,123.09,0.21,122.87,96.67,3,8969,31091.648,15573.362,947.296,18.62,18.26,17.93
800m,500,UseParallelGC,59.1203416363,0,713,111,141,204,8452.0173629399,0,797,19.059,3622.333,83.901,259.288,0.00737,0.00349,0.1421,0.00734,0.08939,54.26,0.27,54,98.53,3,7359,31000.49,35338.028,39.573,16.23,17.54,17.58
800m,500,UseG1GC,66.8447773402,0,756,125,158,229.99,7476.2524689978,0,800,NA,n.a.,66.849,474.705,0.01024,0.00133,0.05231,0.01024,n.a.,36.63,0,36.63,99.01,0,3579,27596.352,46379.532,n.a.,17.45,17.93,18.15
800m,500,UseConcMarkSweepGC,60.8961545995,0,1119,115,145,212,8205.9665074119,0,773.375,NA,n.a.,76.385,213.267,0.00909,0.00383,0.06047,0.00909,n.a.,79.13,0,79.13,97.86,0,8703,30155.051,23455.175,n.a.,16.29,17.38,17.6
800m,200,UseSerialGC,22.6993447981,0,1689,49,61,93,8799.5061611667,0,773.375,22.025,84.039,61.964,213.367,0.00965,0.00529,0.11756,0.00963,0.07226,89.76,0.22,89.54,97.57,3,9301,32247.688,22163.998,1162.94,17.19,18.23,18.45
800m,200,UseParallelGC,23.5720354591,0,484,48,60,84,8473.3388164674,0,798,19.015,3724.333,114.142,260.276,0.00563,0.00349,0.16915,0.0056,0.08783,41.63,0.26,41.36,98.87,3,7390,31249.89,46502.257,41.411,15.88,16.71,16.97
800m,200,UseG1GC,25.7020573766,0,690,52,64,99,7773.0414889687,0,800,NA,n.a.,62.851,475.884,0.00763,0.00111,0.05833,0.00763,n.a.,28.22,0,28.22,99.24,0,3697,28578.43,62354.398,n.a.,17.89,17.79,17.68
800m,200,UseConcMarkSweepGC,24.0316323964,0,385,48,60,88,8312.3723399742,0,773.375,NA,n.a.,64.191,213.27,0.00706,0.0038,0.05169,0.00706,n.a.,62.26,0,62.26,98.31,0,8820,30560.421,30211.658,n.a.,16.42,16.53,16.77
800m,100,UseSerialGC,12.1184039663,0,1004,24,32,57,8234.3278299242,0,773.375,19.268,62.32,47.49,213.352,0.00691,0.00447,0.12109,0.00689,0.07115,60.44,0.21,60.23,98.36,3,8744,30305.26,30976.225,875.887,17.09,17.42,17.47
800m,100,UseParallelGC,12.1304968022,0,1012,25,30,50,8225.6648525532,0,799,19.005,3714,50.477,262.954,0.00417,0.00323,0.20398,0.00413,0.10797,29.39,0.32,29.07,99.2,3,7044,30090.363,63725.596,33.591,16.57,17.25,17.43
800m,100,UseG1GC,13.2434745117,0,999,27,36,59,7536.1096825946,0,800,NA,n.a.,44.902,476.819,0.00561,0.00119,0.0504,0.00561,n.a.,20.16,0,20.16,99.45,0,3591,27812.64,84922.996,n.a.,17.9,18.54,18.39
800m,100,UseConcMarkSweepGC,12.4499578599,0,415,24,30,48,8016.1211874004,0,773.375,NA,n.a.,48.704,213.268,0.00547,0.00382,0.07026,0.00547,n.a.,46.57,0,46.57,98.74,0,8510,29487.216,38975.031,n.a.,15.78,16.6,16.89
800m,50,UseSerialGC,5.814760735,0,324,12,17,34,8561.4008399027,0,773.375,22.189,83.835,43.815,213.369,0.0059,0.00463,0.1136,0.00588,0.07118,53.36,0.21,53.15,98.55,3,9044,31357.506,36307.074,1177.812,18.85,19.69,19.65
800m,50,UseParallelGC,5.8281181723,0,323,12,18,33,8541.7674774358,0,799,18.879,3548.333,41.224,264.101,0.00365,0.00294,0.19759,0.00361,0.09868,26.58,0.3,26.28,99.28,3,7278,31227.934,73127.999,35.115,21.36,19.76,19.39
800m,50,UseG1GC,6.4994723584,0,410,14,20,36,7662.3794777371,0,800,NA,n.a.,45.394,477.101,0.00464,0.00109,0.07897,0.00464,n.a.,16.8,0,16.8,99.55,0,3623,28081.332,102910.159,n.a.,21.34,21.04,20.42
800m,50,UseConcMarkSweepGC,5.9245005827,0,290,13,18,35,8402.7368633499,0,773.375,NA,n.a.,41.689,213.274,0.00475,0.00374,0.06062,0.00475,n.a.,42.24,0,42.24,98.86,0,8896,30824.088,44914.177,n.a.,21.36,20.45,20.03
800m,1,UseSerialGC,0.5085241587,0,204,1,1,1,1882.5315188313,0,773.375,22.181,82.331,37.041,213.353,0.00435,0.00386,0.15997,0.00422,0.08926,8.77,0.27,8.5,99.76,3,2012,6977.713,50513.371,922.411,0.25,0.28,0.62
800m,1,UseParallelGC,0.5077879593,0,204,1,1,1,1885.8210413873,0,799.5,18.918,3558.667,30.9,264.127,0.00284,0.00242,0.19001,0.00267,0.09595,4.64,0.29,4.35,99.87,3,1632,7006.191,99024.108,36.22,0.33,0.29,0.28
800m,1,UseG1GC,0.5290680433,0,143,1,1,1,1813.785105354,0,800,NA,n.a.,42.983,472.549,0.00366,0.00133,0.07389,0.00366,n.a.,3.21,0,3.21,99.91,0,879,6747.23,129282.905,n.a.,0.52,0.4,0.37
800m,1,UseConcMarkSweepGC,0.5043656463,0,204,1,1,1,1898.2238454177,0,773.375,NA,n.a.,34.466,212.94,0.00437,0.00347,0.05405,0.00437,n.a.,8.93,0,8.93,99.76,0,2045,7074.685,48743.721,n.a.,0.3,0.31,0.28
1g,1000,UseSerialGC,115.1549038288,0,5940,192,326,1408.93,8439.9002969877,2.4690787064,989.875,20.604,104.43,249.985,273.002,0.015,0.0055,0.11295,0.01497,0.07688,102.76,0.23,102.53,97.22,3,6849,30386.503,18237.032,1358.42,15.54,16.67,16.44
1g,1000,UseParallelGC,114.5590220248,0,4198,173,202,269,8480.1297911002,3.5997520873,1020,18.349,3108.333,432.087,327.174,0.01018,0.00371,0.16778,0.01012,0.11102,57.71,0.33,57.38,98.44,3,5669,30135.99,32323.104,27.341,15.54,16.05,16.37
1g,1000,UseG1GC,126.2531078948,0,5157,197,229,307.99,7724.3631138294,3.2397914729,1024,NA,n.a.,298.46,561.414,0.01196,0.00151,0.06668,0.01196,n.a.,36.24,0,36.24,99.02,0,3030,27633.05,46938.683,n.a.,18.73,17.8,17.68
1g,1000,UseConcMarkSweepGC,117.9439100233,0,5323,186,214,278,8228.3394177339,3.1360059278,990.75,NA,n.a.,258.458,266.024,0.01082,0.00417,0.07196,0.01082,n.a.,73.53,0,73.53,98.01,0,6793,29362.876,24577.444,n.a.,18.55,17.47,17.02
1g,500,UseSerialGC,59.3314178564,0,1034,111,141,210,8421.7359694546,0,989.875,20.508,106.064,68.328,273.051,0.01378,0.00528,0.20927,0.01375,0.09532,96.27,0.29,95.99,97.39,3,6982,30983.663,19861.59,1112.706,16.14,17.01,17.13
1g,500,UseParallelGC,59.7033330335,0,660,114,140,205,8369.6890386158,0,1021,18.366,3118.333,100.137,333.138,0.00754,0.0036,0.16903,0.00748,0.11387,42.99,0.34,42.65,98.84,3,5700,30849.773,44522.866,26.743,17.24,17.33,17.03
1g,500,UseG1GC,65.8405171767,0,680,121,148,213,7589.3001688308,0,1024,NA,n.a.,70.702,607.487,0.0104,0.00144,0.06462,0.0104,n.a.,29.56,0,29.56,99.2,0,2842,28048.363,58409.946,n.a.,17.43,17.98,17.89
1g,500,UseConcMarkSweepGC,61.9561336942,0,702,111,133,195,8065.4297345565,0,990.75,NA,n.a.,71.4,266.084,0.00999,0.00423,0.06275,0.00999,n.a.,68.86,0,68.86,98.14,0,6892,29796.804,26631.73,n.a.,18.11,17.6,17.14
1g,200,UseSerialGC,23.6033289911,0,416,50,66,105,8462.694084462,0,989.875,20.502,109.196,60.514,273.052,0.00996,0.0053,0.12192,0.00992,0.08666,69.83,0.26,69.57,98.11,3,7010,31106.83,27513.321,1260.023,17.79,18.01,17.51
1g,200,UseParallelGC,22.928357027,0,299,48,63,88,8712.1065788409,0,1021.5,18.317,3180.333,111.461,334.232,0.00568,0.00381,0.15061,0.00563,0.09298,33.55,0.28,33.27,99.09,3,5906,32072.949,59326.776,33.404,16.78,17.09,16.95
1g,200,UseG1GC,25.569005117,0,387,50,64,86,7813.6996654923,0,1024,NA,n.a.,59.913,608.967,0.00791,0.00157,0.07034,0.00791,n.a.,23.04,0,23.04,99.38,0,2914,28826.909,77004.897,n.a.,18.78,17.92,17.62
1g,200,UseConcMarkSweepGC,24.0039155733,0,519,51,63,91,8322.3349315471,0,990.75,NA,n.a.,61.208,266.091,0.00727,0.00444,0.06594,0.00727,n.a.,51.64,0,51.64,98.6,0,7100,30688.998,36588.352,n.a.,17.44,17.77,17.61
1g,100,UseSerialGC,12.1232777971,0,266,24,31,56,8230.4516223659,0,989.875,20.522,108.588,48.84,273.053,0.00703,0.00517,0.11268,0.007,0.07563,47.78,0.23,47.55,98.71,3,6790,30128.273,38987.512,1435.794,16.04,16.94,17.1
1g,100,UseParallelGC,12.0296686483,0,452,25,32,52,8295.4213347799,0,1023,18.377,3115,47.772,337.273,0.00417,0.00326,0.15621,0.00413,0.09058,23.23,0.27,22.96,99.37,3,5565,30494.608,81752.651,33.584,17.9,17.13,17.26
1g,100,UseG1GC,13.4053331848,0,1016,28,37,65.99,7446.017119317,0,1024,NA,n.a.,56.979,610.018,0.00585,0.00117,0.06027,0.00585,n.a.,16.14,0,16.14,99.56,0,2760,27350.471,104305.248,n.a.,19.11,18.55,18.29
1g,100,UseConcMarkSweepGC,12.3478450566,0,342,26,32,56,8082.3454539669,0,990.75,NA,n.a.,47.128,266.088,0.00597,0.00444,0.07363,0.00597,n.a.,41.1,0,41.1,98.89,0,6884,29760.883,44571.287,n.a.,16.02,16.46,16.86
1g,50,UseSerialGC,5.8293057134,0,325,13,18,33,8540.2126187575,0,989.875,20.604,113.763,42.897,273.055,0.00601,0.0048,0.11256,0.00598,0.07994,42.22,0.24,41.98,98.86,3,7025,31173.464,45693.331,1423.16,19.2,19.92,19.97
1g,50,UseParallelGC,5.8292155649,0,289,13,17,32.99,8540.6892509806,0,1023,18.262,3096.333,40.454,338.475,0.00364,0.00291,0.15641,0.00359,0.09151,20.59,0.27,20.32,99.44,3,5654,31094.468,94197.91,33.043,18.29,19.17,19.47
1g,50,UseG1GC,6.5248071369,0,431,14,20,37.99,7634.066546138,0,1024,NA,n.a.,48.152,609.868,0.00491,0.00157,0.07982,0.00491,n.a.,13.9,0,13.9,99.62,0,2829,28032.938,124110.108,n.a.,20.62,20.03,19.68
1g,50,UseConcMarkSweepGC,5.9696047617,0,470,13,18,35,8338.7694444815,0,990.75,NA,n.a.,41.301,266.093,0.00531,0.00417,0.57867,0.00531,n.a.,37.57,0,37.57,98.98,0,7074,30586.196,50104.348,n.a.,18.63,19.09,19.5
1g,1,UseSerialGC,0.5094964049,0,13,1,1,1,1869.5156512126,0,989.875,23.425,106.626,38.915,273.032,0.00428,0.00382,0.10697,0.00415,0.07314,6.71,0.22,6.49,99.82,3,1564,6944.566,65761.948,1457.789,0.15,0.2,0.57
1g,1,UseParallelGC,0.503739558,0,205,1,1,1,1892.7835807576,0,1023.5,18.371,3036.667,30.98,338.092,0.00297,0.00239,0.22885,0.00271,0.11437,3.8,0.34,3.46,99.9,3,1274,6998.922,124654.851,25.93,0.28,0.34,0.29
1g,1,UseG1GC,0.544640851,0,8,1,1,1,1754.6425199065,0,1024,NA,n.a.,39.956,603.181,0.00399,0.00148,0.0592,0.00399,n.a.,2.65,0,2.65,99.93,0,663,6497.119,151029.688,n.a.,0.48,0.38,0.36
1g,1,UseConcMarkSweepGC,0.5056112363,0,205,1,1,1,1891.5382396222,0,990.75,NA,n.a.,33.821,265.57,0.00464,0.00381,0.05664,0.00464,n.a.,7.51,0,7.51,99.8,0,1617,6978.674,57212.821,n.a.,0.23,0.26,0.27
4g,1000,UseSerialGC,114.9658241751,0,5146,199,352,1164.98,8459.6084008201,3.4669678637,3959.5,32.546,359.473,213.363,1092.16,0.01617,0.00536,0.15646,0.01599,0.11944,27.38,0.36,27.02,99.26,3,1690,30006.529,68304.244,3009.58,15.83,16.98,17.04
4g,1000,UseParallelGC,116.4025341354,0,5155,201,276,893.96,8371.0852998384,3.4199837042,4092,23.05,7914.333,191.263,1341.418,0.00932,0.00501,0.16073,0.00914,0.09186,12.78,0.28,12.5,99.65,3,1368,29828.612,146765.74,84.141,16.38,16.69,17.05
4g,1000,UseG1GC,128.5745872216,0,5435,192,221,284.99,7594.9355964889,3.2581994112,4096,NA,n.a.,231.809,2395.202,0.01486,0.00257,0.07304,0.01486,n.a.,10.36,0,10.36,99.72,0,697,27143.828,161215.291,n.a.,17.85,19.02,19.23
4g,1000,UseConcMarkSweepGC,122.9675386618,0,5353,190,237.95,471,7919.3420329329,3.8124629997,4062.75,NA,n.a.,263.94,266.027,0.02029,0.00538,0.08477,0.02029,n.a.,132.26,0,132.26,96.42,0,6520,28181.062,13113.888,n.a.,17.76,17.01,17.05
4g,500,UseSerialGC,59.7748834051,0,1080,110,143,213,8359.5637665757,0,3959.5,32.669,354.853,80.541,1092.277,0.01397,0.00553,0.15079,0.0138,0.11459,24.28,0.34,23.94,99.34,3,1735,30810.056,79174.86,3096.777,18.54,17.71,17.92
4g,500,UseParallelGC,61.3817725583,0,1091,109,139,203,8140.9653834789,0,4093,23.09,7876.333,77.589,1352.102,0.00776,0.0044,0.1788,0.00757,0.0963,10.62,0.29,10.33,99.71,3,1365,29998.242,178633.45,79.87,16.5,16.92,17.19
4g,500,UseG1GC,67.64672647,0,656,119,147,210,7387.6769440625,0,4096,NA,n.a.,90.003,2402.593,0.0127,0.00418,0.10917,0.0127,n.a.,8.85,0,8.85,99.76,0,697,27224.71,189232.803,n.a.,18.02,17.98,17.97
4g,500,UseConcMarkSweepGC,65.6580444181,0,670,114,141,204,7610.8148064635,0,4062.75,NA,n.a.,70.174,266.075,0.01985,0.0065,0.11745,0.01985,n.a.,129.08,0,129.08,96.5,0,6504,28117.97,13406.842,n.a.,17.4,17.53,17.61
4g,200,UseSerialGC,24.3621455878,0,374,47,58,95,8199.2450339435,0,3959.5,24.106,278.784,64.681,1091.837,0.0103,0.00459,0.16108,0.01014,0.10272,17.56,0.31,17.26,99.52,3,1702,30210.919,107686.048,2713.931,16.62,16.83,17.37
4g,200,UseParallelGC,24.2009411846,0,461,47,60,89,8253.5200938692,0,4094,20.041,4525.333,66.679,1353.674,0.00567,0.00371,0.14868,0.00546,0.10132,7.87,0.3,7.56,99.79,3,1385,30468.489,247900.17,43.618,18.39,17.65,17.5
4g,200,UseG1GC,26.7730607146,0,1058,54,67,95,7462.023338969,0,4096,NA,n.a.,78.094,2406.051,0.01039,0.0036,0.09026,0.01039,n.a.,7.31,0,7.31,99.8,0,703,27480.535,231523.333,n.a.,17.71,17.82,18.19
4g,200,UseConcMarkSweepGC,25.1623004206,0,358,49,61,85,7938.6264499866,0,4062.75,NA,n.a.,60.571,266.084,0.01732,0.00682,0.06679,0.01732,n.a.,117.62,0,117.62,96.81,0,6791,29358.183,15362.65,n.a.,17.41,16.93,17.05
4g,100,UseSerialGC,12.5499171698,0,418,24,30,52,7950.6168986034,0,3959.5,32.525,359.134,62.259,1092.287,0.00776,0.0053,0.16911,0.00756,0.12072,12.84,0.36,12.48,99.65,3,1651,29319.453,144533.684,2975.058,17.3,17.87,17.74
4g,100,UseParallelGC,12.4266803387,0,1037,25,33,56,8029.3023054258,0,4094.5,20.2,4709,45.117,1356.762,0.00448,0.00337,0.22052,0.00421,0.12602,6.04,0.38,5.66,99.84,3,1344,29625.933,322268.23,36.49,15.59,17.01,17.89
4g,100,UseG1GC,13.7020580274,0,411,28,37,66,7283.356117287,0,4096,NA,n.a.,60.388,2404.411,0.008,0.00276,0.0589,0.008,n.a.,5.5,0,5.5,99.85,0,688,26901.061,300607.836,n.a.,17.73,17.94,18.38
4g,100,UseConcMarkSweepGC,12.9706426006,0,318,27,35,61,7693.2773236571,0,4062.75,NA,n.a.,47.704,266.08,0.01591,0.00572,0.07348,0.01591,n.a.,104.36,0,104.36,97.17,0,6560,28359.671,16725.838,n.a.,18.47,17.77,17.84
4g,50,UseSerialGC,6.0858915598,0,773,13,18,34,8181.4651690079,0,3959.5,23.975,278.789,47.586,1091.856,0.00616,0.0044,0.14586,0.00599,0.09756,10.41,0.29,10.12,99.72,3,1688,29961.971,182141.541,2857.561,18.79,19.03,19.34
4g,50,UseParallelGC,5.9828910103,0,342,12,17,31,8321.6060118167,0,4095,23.06,7865.667,38.584,1358.791,0.00396,0.00303,0.12959,0.00376,0.09505,5.48,0.29,5.2,99.85,3,1381,30505.241,361031.291,80.809,20.8,20.14,19.76
4g,50,UseG1GC,6.6279316897,0,443,14,19,37,7516.5093746411,0,4096,NA,n.a.,57.926,2408.562,0.007,0.00323,0.06283,0.007,n.a.,4.95,0,4.95,99.87,0,707,27681.503,344126.487,n.a.,19.9,20.75,20.88
4g,50,UseConcMarkSweepGC,6.2760758576,0,227,14,20,36,7934.961453611,0,4062.75,NA,n.a.,41.081,266.085,0.01538,0.00608,0.08366,0.01538,n.a.,103.65,0,103.65,97.19,0,6739,29134.617,17300.729,n.a.,19.03,18.52,18.74
4g,1,UseSerialGC,0.5126496031,0,201,1,1,1,1864.86945955,0,3959.5,32.565,348.884,49.631,1092.236,0.00541,0.00386,0.15998,0.00447,0.12653,2.12,0.38,1.74,99.94,3,388,6915.76,244188.56,2757.398,0.2,0.26,0.63
4g,1,UseParallelGC,0.5209230411,0,203,1,1,1,1826.257869497,0,4095.5,23.075,7892,30.958,1346.285,0.00391,0.00243,0.17273,0.00304,0.0936,1.23,0.28,0.95,99.97,3,311,6805.827,442314.058,82.343,0.3,0.29,0.27
4g,1,UseG1GC,0.5405181506,0,204,1,1,1,1766.4378636255,0,4096,NA,n.a.,42.602,2278.062,0.00805,0.0026,0.06526,0.00805,n.a.,1.42,0,1.42,99.96,0,176,6528.978,282866.963,n.a.,0.5,0.34,0.32
4g,1,UseConcMarkSweepGC,0.5163127432,0,26,1,1,1,1848.3285822124,0,4062.75,NA,n.a.,33.71,265.563,0.01419,0.00819,0.07292,0.01419,n.a.,22.7,0,22.7,99.38,0,1600,6906.816,18716.268,n.a.,0.35,0.34,0.33
